"","group","score","gr2"
"1","Group1",34.3188009393057,"high"
"2","Group1",40.1137761391612,"high"
"3","Group1",93.3872658973053,"high"
"4","Group1",46.2359685385036,"high"
"5","Group1",47.5377562684216,"high"
"6","Group1",100.54595385302,"high"
"7","Group1",55.5997754332466,"high"
"8","Group1",24.602810489916,"high"
"9","Group1",32.3299866949476,"high"
"10","Group1",36.2315071775191,"high"
"11","Group1",79.7330260288525,"high"
"12","Group1",53.0068074103503,"high"
"13","Group1",54.0423467867286,"high"
"14","Group1",47.1217939990781,"high"
"15","Group1",34.3940158155464,"high"
"16","Group1",104.017021764192,"high"
"17","Group1",56.578338540213,"high"
"18","Group1",17.662772701015,"high"
"19","Group1",62.2873428416244,"high"
"20","Group1",35.7701476431841,"high"
"21","Group1",27.0052661923405,"high"
"22","Group1",40.3456701279319,"high"
"23","Group1",27.5440489308235,"high"
"24","Group1",31.6943065584492,"high"
"25","Group1",33.28792524495,"high"
"26","Group1",20.1597857826458,"high"
"27","Group1",66.4337813901285,"high"
"28","Group1",48.0817041999271,"high"
"29","Group1",26.12302935237,"high"
"30","Group1",80.8608061453869,"high"
"31","Group1",54.7022427107935,"high"
"32","Group1",38.9027580093861,"high"
"33","Group1",68.2577745474849,"high"
"34","Group1",67.7120777528653,"high"
"35","Group1",65.9271469635845,"high"
"36","Group1",61.914327422901,"high"
"37","Group1",58.0968388552561,"high"
"38","Group1",43.4323836934924,"high"
"39","Group1",38.7031256999592,"high"
"40","Group1",37.3646123139313,"high"
"41","Group1",32.2102602133913,"high"
"42","Group1",40.5378098363803,"high"
"43","Group1",24.5989161045285,"high"
"44","Group1",124.589486611246,"high"
"45","Group1",79.1281900953359,"high"
"46","Group1",26.3091392981708,"high"
"47","Group1",36.9710878728752,"high"
"48","Group1",35.8739797457284,"high"
"49","Group1",64.6437689614248,"high"
"50","Group1",42.9943748431621,"high"
"51","Group1",50.4061914415095,"high"
"52","Group1",44.1223427608888,"high"
"53","Group1",43.8248080985604,"high"
"54","Group1",85.366399233488,"high"
"55","Group1",40.1973618324216,"high"
"56","Group1",91.5424424348982,"high"
"57","Group1",21.5171491923857,"high"
"58","Group1",58.945394469483,"high"
"59","Group1",47.4158986742239,"high"
"60","Group1",49.5240230020272,"high"
"61","Group1",53.5055616548577,"high"
"62","Group1",35.2746054169155,"high"
"63","Group1",38.2082126600374,"high"
"64","Group1",27.6408803705817,"high"
"65","Group1",26.9547008558693,"high"
"66","Group1",51.6160313899503,"high"
"67","Group1",55.2670500445809,"high"
"68","Group1",45.8552366546554,"high"
"69","Group1",69.138559988818,"high"
"70","Group1",117.786271554047,"high"
"71","Group1",35.4632720410933,"high"
"72","Group1",15.0239314138738,"high"
"73","Group1",71.9191610611819,"high"
"74","Group1",31.9904831785958,"high"
"75","Group1",32.3123406034769,"high"
"76","Group1",72.5961128987749,"high"
"77","Group1",39.09247329642,"high"
"78","Group1",25.1236016547968,"high"
"79","Group1",48.7202862773674,"high"
"80","Group1",41.8813921560077,"high"
"81","Group1",44.8432968428972,"high"
"82","Group1",53.6483259694524,"high"
"83","Group1",37.5381809794053,"high"
